['Date:20150108', 'Maturity:201502', 'Strike_price:9300', 'CallPut:call', 'close:139']
['Date:20150108', 'Maturity:201502', 'Strike_price:9400', 'CallPut:call', 'close:94']
['Date:20150108', 'Maturity:201502', 'Strike_price:9500', 'CallPut:call', 'close:60']
['Date:20150108', 'Maturity:201502', 'Strike_price:9600', 'CallPut:call', 'close:36']
['Date:20150108', 'Maturity:201502', 'Strike_price:9700', 'CallPut:call', 'close:20']
['Date:20150108', 'Maturity:201502', 'Strike_price:9800', 'CallPut:call', 'close:10']
['Date:20150108', 'Maturity:201502', 'Strike_price:9900', 'CallPut:call', 'close:4.5']
['Date:20150108', 'Maturity:201502', 'Strike_price:10000', 'CallPut:call', 'close:2']
['Date:20150108', 'Maturity:201502', 'Strike_price:10200', 'CallPut:call', 'close:1.2']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8400', 'CallPut:call', 'close:825']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8500', 'CallPut:call', 'close:725']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8600', 'CallPut:call', 'close:625']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8700', 'CallPut:call', 'close:525']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8800', 'CallPut:call', 'close:430']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8850', 'CallPut:call', 'close:380']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8900', 'CallPut:call', 'close:328']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:8950', 'CallPut:call', 'close:277']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9000', 'CallPut:call', 'close:229']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9050', 'CallPut:call', 'close:183']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9100', 'CallPut:call', 'close:137']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9150', 'CallPut:call', 'close:99']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9200', 'CallPut:call', 'close:67']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9250', 'CallPut:call', 'close:41']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9300', 'CallPut:call', 'close:23.5']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9350', 'CallPut:call', 'close:12.5']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9400', 'CallPut:call', 'close:5.3']
['Date:20150109', 'Maturity:201501W2', 'Strike_price:9450', 'CallPut:call', 'close:2.3']
['Date:20150109', 'Maturity:201501', 'Strike_price:7200', 'CallPut:call', 'close:2030']
['Date:20150109', 'Maturity:201501', 'Strike_price:7300', 'CallPut:call', 'close:1930']
['Date:20150109', 'Maturity:201501', 'Strike_price:7400', 'CallPut:call', 'close:1830']
['Date:20150109', 'Maturity:201501', 'Strike_price:7500', 'CallPut:call', 'close:1730']
['Date:20150109', 'Maturity:201501', 'Strike_price:7600', 'CallPut:call', 'close:1630']
['Date:20150109', 'Maturity:201501', 'Strike_price:7700', 'CallPut:call', 'close:1530']
['Date:20150109', 'Maturity:201501', 'Strike_price:7800', 'CallPut:call', 'close:1430']
['Date:20150109', 'Maturity:201501', 'Strike_price:7900', 'CallPut:call', 'close:1330']
['Date:20150109', 'Maturity:201501', 'Strike_price:8000', 'CallPut:call', 'close:1230']
['Date:20150109', 'Maturity:201501', 'Strike_price:8100', 'CallPut:call', 'close:1130']
['Date:20150109', 'Maturity:201501', 'Strike_price:8200', 'CallPut:call', 'close:1030']
['Date:20150109', 'Maturity:201501', 'Strike_price:8300', 'CallPut:call', 'close:930']
['Date:20150109', 'Maturity:201501', 'Strike_price:8400', 'CallPut:call', 'close:830']
['Date:20150109', 'Maturity:201501', 'Strike_price:8500', 'CallPut:call', 'close:730']
['Date:20150109', 'Maturity:201501', 'Strike_price:8600', 'CallPut:call', 'close:630']
['Date:20150109', 'Maturity:201501', 'Strike_price:8700', 'CallPut:call', 'close:535']
['Date:20150109', 'Maturity:201501', 'Strike_price:8800', 'CallPut:call', 'close:435']
['Date:20150109', 'Maturity:201501', 'Strike_price:8900', 'CallPut:call', 'close:340']
['Date:20150109', 'Maturity:201501', 'Strike_price:9000', 'CallPut:call', 'close:249']
['Date:20150109', 'Maturity:201501', 'Strike_price:9100', 'CallPut:call', 'close:168']
['Date:20150109', 'Maturity:201501', 'Strike_price:9200', 'CallPut:call', 'close:102']
['Date:20150109', 'Maturity:201501', 'Strike_price:9300', 'CallPut:call', 'close:54']
['Date:20150109', 'Maturity:201501', 'Strike_price:9400', 'CallPut:call', 'close:23.5']
['Date:20150109', 'Maturity:201501', 'Strike_price:9500', 'CallPut:call', 'close:8']
['Date:20150109', 'Maturity:201501', 'Strike_price:9600', 'CallPut:call', 'close:2.9']
['Date:20150109', 'Maturity:201502', 'Strike_price:7500', 'CallPut:call', 'close:1730']
['Date:20150109', 'Maturity:201502', 'Strike_price:7600', 'CallPut:call', 'close:1630']
